Liczba epok,Wspolczynnik uczenia,Czas uczenia [ms],Poprawnie sklasyfikowane,Niepoprawnie sklasyfikowane,Poprawnie sklasyfikowane [%]
50000,0.2,15805.29,176,29,85.85
50000,0.4,15678.14,179,26,87.32
50000,0.6,15664.21,181,24,88.29
50000,0.9,15626.86,183,22,89.27
10,0.01,641.9,77,128,37.56
10,0.2,291.72,78,127,38.05
10,0.4,296.08,127,78,61.95
10,0.6,292.63,127,78,61.95
10,0.9,293.36,127,78,61.95
20,0.01,291.95,78,127,38.05
20,0.2,297.22,127,78,61.95
20,0.4,293.97,127,78,61.95
20,0.6,290.96,127,78,61.95
20,0.9,295.47,127,78,61.95
50,0.01,305.22,127,78,61.95
50,0.2,311.85,127,78,61.95
50,0.4,308.79,127,78,61.95
50,0.6,307.31,127,78,61.95
50,0.9,313.9,127,78,61.95
100,0.01,326.84,78,127,38.05
100,0.2,330.0,127,78,61.95
100,0.4,332.73,127,78,61.95
100,0.6,324.92,127,78,61.95
100,0.9,328.77,127,78,61.95
200,0.01,353.71,127,78,61.95
200,0.2,1879.76,127,78,61.95
200,0.4,373.35,127,78,61.95
200,0.6,364.44,127,78,61.95
200,0.9,377.05,127,78,61.95
500,0.01,488.1,126,79,61.46
500,0.2,589.43,127,78,61.95
500,0.4,568.1,127,78,61.95
500,0.6,598.33,127,78,61.95
500,0.9,458.29,165,40,80.49
1000,0.01,672.56,127,78,61.95
1000,0.2,702.31,127,78,61.95
1000,0.4,719.91,142,63,69.27
1000,0.6,746.07,175,30,85.37
1000,0.9,726.73,170,35,82.93
2000,0.01,1232.06,127,78,61.95
2000,0.2,1307.77,127,78,61.95
2000,0.4,979.24,171,34,83.41
2000,0.6,1061.52,177,28,86.34
2000,0.9,928.27,178,27,86.83
5000,0.01,1876.0,127,78,61.95
5000,0.2,1868.11,176,29,85.85
5000,0.4,2127.54,177,28,86.34
5000,0.6,1874.96,179,26,87.32
5000,0.9,1905.88,177,28,86.34
10000,0.01,3377.7,127,78,61.95
10000,0.2,3361.77,176,29,85.85
10000,0.4,3360.05,178,27,86.83
10000,0.6,3372.98,177,28,86.34
10000,0.9,3369.81,178,27,86.83
20000,0.01,7937.66,127,78,61.95
20000,0.2,6999.62,177,28,86.34
20000,0.4,6774.09,178,27,86.83
20000,0.6,6574.18,178,27,86.83
20000,0.9,6537.31,177,28,86.34
50000,0.01,19699.56,171,34,83.41
50000,0.2,17824.98,177,28,86.34
50000,0.4,18070.31,178,27,86.83
50000,0.6,18530.04,180,25,87.8
50000,0.9,19102.3,183,22,89.27
10,0.01,564.94,78,127,38.05
10,0.2,444.38,127,78,61.95
10,0.4,458.43,127,78,61.95
10,0.6,433.7,127,78,61.95
10,0.9,419.06,127,78,61.95
20,0.01,372.69,127,78,61.95
20,0.2,304.16,127,78,61.95
20,0.4,297.64,127,78,61.95
20,0.6,309.96,127,78,61.95
20,0.9,306.3,127,78,61.95
50,0.01,319.82,127,78,61.95
50,0.2,321.37,127,78,61.95
50,0.4,316.77,127,78,61.95
50,0.6,334.1,127,78,61.95
50,0.9,333.64,127,78,61.95
100,0.01,343.25,78,127,38.05
100,0.2,360.89,127,78,61.95
100,0.4,317.98,127,78,61.95
100,0.6,342.59,127,78,61.95
100,0.9,337.05,127,78,61.95
200,0.01,367.76,127,78,61.95
200,0.2,354.78,127,78,61.95
200,0.4,385.37,127,78,61.95
200,0.6,439.76,127,78,61.95
200,0.9,389.65,127,78,61.95
500,0.01,460.99,127,78,61.95
500,0.2,491.32,127,78,61.95
500,0.4,454.56,127,78,61.95
500,0.6,477.52,127,78,61.95
500,0.9,1504.9,153,52,74.63
1000,0.01,2135.83,127,78,61.95
1000,0.2,909.48,127,78,61.95
1000,0.4,780.11,154,51,75.12
1000,0.6,781.87,175,30,85.37
1000,0.9,712.83,174,31,84.88
2000,0.01,997.47,127,78,61.95
2000,0.2,1163.96,129,76,62.93
2000,0.4,1318.76,151,54,73.66
2000,0.6,1098.14,178,27,86.83
2000,0.9,1427.87,178,27,86.83
5000,0.01,2032.14,127,78,61.95
5000,0.2,2040.67,175,30,85.37
5000,0.4,1976.14,177,28,86.34
5000,0.6,1929.78,179,26,87.32
5000,0.9,2025.3,177,28,86.34
10000,0.01,3526.21,127,78,61.95
10000,0.2,3418.97,177,28,86.34
10000,0.4,3739.06,177,28,86.34
10000,0.6,3515.58,177,28,86.34
10000,0.9,3581.59,177,28,86.34
20000,0.01,7784.68,127,78,61.95
20000,0.2,7121.45,178,27,86.83
20000,0.4,7556.17,177,28,86.34
20000,0.6,8064.46,177,28,86.34
20000,0.9,7592.09,177,28,86.34
50000,0.01,17490.91,145,60,70.73
50000,0.2,16044.4,176,29,85.85
50000,0.4,15956.22,179,26,87.32
50000,0.6,17312.71,180,25,87.8
50000,0.9,16306.12,179,26,87.32
