Liczba epok,Wspolczynnik uczenia,Czas uczenia [ms],Poprawnie sklasyfikowane,Niepoprawnie sklasyfikowane,Poprawnie sklasyfikowane [%]
5000,0.4,4079.06,127,78,61.95
5000,0.6,3920.74,127,78,61.95
5000,0.9,3936.71,127,78,61.95
10000,0.01,7038.28,127,78,61.95
10000,0.2,7051.23,127,78,61.95
10000,0.4,7020.14,127,78,61.95
10000,0.6,7597.74,127,78,61.95
10000,0.9,7320.78,127,78,61.95
20000,0.01,14688.16,127,78,61.95
20000,0.2,14561.92,127,78,61.95
20000,0.4,13579.89,127,78,61.95
20000,0.6,15401.55,127,78,61.95
20000,0.9,15749.46,127,78,61.95
50000,0.01,33734.98,127,78,61.95
50000,0.2,36774.33,127,78,61.95
50000,0.4,37081.51,127,78,61.95
50000,0.6,34546.77,176,29,85.85
50000,0.9,33509.9,175,30,85.37
10,0.01,1118.0,78,127,38.05
10,0.2,2761.35,78,127,38.05
10,0.4,889.01,127,78,61.95
10,0.6,848.55,127,78,61.95
10,0.9,874.87,127,78,61.95
20,0.01,906.51,127,78,61.95
20,0.2,858.02,127,78,61.95
20,0.4,910.45,127,78,61.95
20,0.6,872.74,127,78,61.95
20,0.9,2655.05,127,78,61.95
50,0.01,984.44,127,78,61.95
50,0.2,898.7,127,78,61.95
50,0.4,949.96,127,78,61.95
50,0.6,924.45,127,78,61.95
50,0.9,923.89,127,78,61.95
100,0.01,950.59,127,78,61.95
100,0.2,935.81,127,78,61.95
100,0.4,959.14,127,78,61.95
100,0.6,932.24,127,78,61.95
100,0.9,938.66,127,78,61.95
200,0.01,1062.05,127,78,61.95
200,0.2,1010.76,127,78,61.95
200,0.4,1055.6,127,78,61.95
200,0.6,1139.32,127,78,61.95
200,0.9,1018.7,127,78,61.95
500,0.01,1196.28,78,127,38.05
500,0.2,1152.88,127,78,61.95
500,0.4,1154.56,127,78,61.95
500,0.6,1235.31,127,78,61.95
500,0.9,1326.18,127,78,61.95
1000,0.01,1512.77,127,78,61.95
1000,0.2,1510.58,127,78,61.95
1000,0.4,1591.95,127,78,61.95
1000,0.6,2634.2,127,78,61.95
1000,0.9,1605.89,127,78,61.95
2000,0.01,2214.17,127,78,61.95
2000,0.2,2052.84,127,78,61.95
2000,0.4,3139.37,127,78,61.95
2000,0.6,2261.0,127,78,61.95
2000,0.9,2181.83,127,78,61.95
5000,0.01,5243.84,127,78,61.95
5000,0.2,6102.98,127,78,61.95
5000,0.4,4582.98,127,78,61.95
5000,0.6,4692.74,127,78,61.95
5000,0.9,4365.3,127,78,61.95
10000,0.01,7785.43,127,78,61.95
10000,0.2,7358.17,127,78,61.95
10000,0.4,8707.41,127,78,61.95
10000,0.6,8720.83,127,78,61.95
10000,0.9,7792.42,127,78,61.95
20000,0.01,16902.52,127,78,61.95
20000,0.2,15476.25,127,78,61.95
20000,0.4,15638.82,127,78,61.95
20000,0.6,15704.5,127,78,61.95
20000,0.9,15550.43,176,29,85.85
50000,0.01,32408.2,127,78,61.95
50000,0.2,32316.26,127,78,61.95
50000,0.4,32458.82,127,78,61.95
50000,0.6,31968.73,127,78,61.95
50000,0.9,33791.24,175,30,85.37
