Liczba epok,Wspolczynnik uczenia,Czas uczenia [ms],Poprawnie sklasyfikowane,Niepoprawnie sklasyfikowane,Poprawnie sklasyfikowane [%]
100,0.6,777.81,127,78,61.95
100,0.9,772.26,127,78,61.95
200,0.01,830.4,127,78,61.95
200,0.2,824.78,127,78,61.95
200,0.4,852.18,127,78,61.95
200,0.6,877.76,127,78,61.95
200,0.9,1984.82,172,33,83.9
500,0.01,2140.68,127,78,61.95
500,0.2,1043.36,175,30,85.37
500,0.4,1040.04,131,74,63.9
500,0.6,997.88,127,78,61.95
500,0.9,1020.87,127,78,61.95
1000,0.01,1358.57,127,78,61.95
1000,0.2,1332.6,127,78,61.95
1000,0.4,1322.55,136,69,66.34
1000,0.6,1363.95,78,127,38.05
1000,0.9,2177.8,78,127,38.05
2000,0.01,1952.46,127,78,61.95
2000,0.2,2803.19,160,45,78.05
2000,0.4,3035.66,78,127,38.05
2000,0.6,1988.57,127,78,61.95
2000,0.9,3346.11,172,33,83.9
5000,0.01,3962.2,127,78,61.95
5000,0.2,3695.74,127,78,61.95
5000,0.4,4235.66,165,40,80.49
5000,0.6,3502.31,127,78,61.95
5000,0.9,3589.45,172,33,83.9
10000,0.01,7119.46,127,78,61.95
10000,0.2,7102.97,180,25,87.8
10000,0.4,6958.73,176,29,85.85
10000,0.6,6742.15,127,78,61.95
10000,0.9,6057.28,127,78,61.95
20000,0.01,13263.7,176,29,85.85
20000,0.2,13670.13,78,127,38.05
20000,0.4,13675.65,78,127,38.05
20000,0.6,19517.36,121,84,59.02
20000,0.9,17750.05,169,36,82.44
50000,0.01,32871.71,180,25,87.8
50000,0.2,33561.71,78,127,38.05
50000,0.4,45024.43,127,78,61.95
50000,0.6,27216.08,127,78,61.95
50000,0.9,43293.84,171,34,83.41
10,0.01,642.02,78,127,38.05
10,0.2,726.88,127,78,61.95
10,0.4,728.66,127,78,61.95
10,0.6,826.3,127,78,61.95
10,0.9,1977.86,127,78,61.95
20,0.01,1735.68,78,127,38.05
20,0.2,930.78,127,78,61.95
20,0.4,869.16,127,78,61.95
20,0.6,791.64,127,78,61.95
20,0.9,771.4,127,78,61.95
50,0.01,712.03,127,78,61.95
50,0.2,701.59,127,78,61.95
50,0.4,703.78,127,78,61.95
50,0.6,946.75,127,78,61.95
50,0.9,899.68,127,78,61.95
100,0.01,782.63,127,78,61.95
100,0.2,1766.41,127,78,61.95
100,0.4,765.89,127,78,61.95
100,0.6,779.49,127,78,61.95
100,0.9,803.13,127,78,61.95
200,0.01,755.09,127,78,61.95
200,0.2,796.33,127,78,61.95
200,0.4,767.67,127,78,61.95
200,0.6,783.72,137,68,66.83
200,0.9,741.99,127,78,61.95
500,0.01,947.26,127,78,61.95
500,0.2,933.91,127,78,61.95
500,0.4,939.19,171,34,83.41
500,0.6,1954.13,127,78,61.95
500,0.9,935.77,129,76,62.93
1000,0.01,1259.49,127,78,61.95
1000,0.2,1256.94,176,29,85.85
1000,0.4,1937.6,127,78,61.95
1000,0.6,1156.85,127,78,61.95
1000,0.9,1141.43,127,78,61.95
2000,0.01,1933.59,127,78,61.95
2000,0.2,1917.7,127,78,61.95
2000,0.4,1853.25,155,50,75.61
2000,0.6,1958.74,127,78,61.95
2000,0.9,2761.04,78,127,38.05
5000,0.01,3602.28,127,78,61.95
5000,0.2,4999.75,78,127,38.05
5000,0.4,3978.46,127,78,61.95
5000,0.6,4076.72,127,78,61.95
5000,0.9,4039.1,127,78,61.95
10000,0.01,7064.2,127,78,61.95
10000,0.2,10194.02,171,34,83.41
10000,0.4,8958.77,78,127,38.05
10000,0.6,7782.93,170,35,82.93
10000,0.9,6043.28,127,78,61.95
20000,0.01,12476.0,176,29,85.85
20000,0.2,12432.95,179,26,87.32
20000,0.4,11283.48,127,78,61.95
20000,0.6,20031.44,127,78,61.95
20000,0.9,10709.6,127,78,61.95
50000,0.01,34905.28,180,25,87.8
50000,0.2,32731.61,177,28,86.34
50000,0.4,48336.47,172,33,83.9
50000,0.6,27986.22,127,78,61.95
50000,0.9,40525.54,127,78,61.95
10,0.01,648.68,78,127,38.05
10,0.2,646.7,127,78,61.95
10,0.4,660.02,127,78,61.95
10,0.6,648.57,127,78,61.95
10,0.9,641.5,127,78,61.95
20,0.01,647.62,78,127,38.05
20,0.2,647.15,127,78,61.95
20,0.4,1641.71,127,78,61.95
20,0.6,662.56,127,78,61.95
20,0.9,652.71,127,78,61.95
50,0.01,681.25,127,78,61.95
50,0.2,687.26,127,78,61.95
50,0.4,671.0,127,78,61.95
50,0.6,672.59,127,78,61.95
50,0.9,679.87,127,78,61.95
100,0.01,976.31,127,78,61.95
100,0.2,1035.3,127,78,61.95
100,0.4,1074.76,127,78,61.95
100,0.6,1193.65,127,78,61.95
100,0.9,944.66,127,78,61.95
200,0.01,1935.45,127,78,61.95
200,0.2,1168.13,127,78,61.95
200,0.4,1205.67,158,47,77.07
200,0.6,1182.09,78,127,38.05
200,0.9,1086.7,134,71,65.37
500,0.01,1439.83,127,78,61.95
500,0.2,1219.76,127,78,61.95
500,0.4,1293.08,127,78,61.95
500,0.6,1085.55,127,78,61.95
500,0.9,1119.07,178,27,86.83
1000,0.01,1718.89,127,78,61.95
1000,0.2,2024.72,136,69,66.34
1000,0.4,1840.92,127,78,61.95
1000,0.6,3792.15,137,68,66.83
1000,0.9,2109.13,170,35,82.93
2000,0.01,2908.43,127,78,61.95
2000,0.2,2710.72,127,78,61.95
2000,0.4,2335.64,127,78,61.95
2000,0.6,2670.79,137,68,66.83
2000,0.9,1682.83,127,78,61.95
5000,0.01,3592.91,127,78,61.95
5000,0.2,3566.56,127,78,61.95
5000,0.4,3434.72,127,78,61.95
5000,0.6,3258.77,127,78,61.95
5000,0.9,4221.68,78,127,38.05
10000,0.01,6332.12,176,29,85.85
10000,0.2,8304.26,127,78,61.95
10000,0.4,5645.33,127,78,61.95
10000,0.6,5613.33,127,78,61.95
10000,0.9,8126.14,34,171,16.59
20000,0.01,12728.15,177,28,86.34
20000,0.2,25597.94,170,35,82.93
20000,0.4,12319.32,165,40,80.49
20000,0.6,11356.71,127,78,61.95
20000,0.9,12772.71,78,127,38.05
50000,0.01,32154.84,180,25,87.8
50000,0.2,40230.37,127,78,61.95
50000,0.4,34523.44,127,78,61.95
50000,0.6,25563.69,127,78,61.95
50000,0.9,28547.0,127,78,61.95
